work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Machine Learning Engineer,130000,US,0,US,M
2022,MI,FT,Machine Learning Engineer,90000,US,0,US,M
2022,MI,FT,Data Scientist,120000,US,100,US,M
2022,MI,FT,Data Scientist,100000,US,100,US,M
2022,MI,FT,Data Scientist,85000,US,100,US,M
2022,MI,FT,Data Scientist,78000,US,100,US,M
2022,SE,FT,Data Engineer,161000,US,100,US,M
2022,SE,FT,Data Engineer,110000,US,100,US,M
2022,SE,FT,Data Scientist,136000,US,100,US,M
2022,SE,FT,Data Scientist,104000,US,100,US,M
2022,SE,FT,Data Scientist,47379,ES,0,ES,M
2022,SE,FT,Data Scientist,37903,ES,0,ES,M
2022,EX,FT,Head of Data,205000,US,0,US,M
2022,EX,FT,Head of Data,160000,US,0,US,M
2022,SE,FT,Data Analyst,169000,US,0,US,M
2022,SE,FT,Data Analyst,110600,US,0,US,M
2022,EN,FT,Data Engineer,61927,GB,100,GB,M
2022,EN,FT,Data Engineer,49542,GB,100,GB,M
2022,SE,FT,Data Engineer,160000,US,0,US,M
2022,SE,FT,Data Engineer,130000,US,0,US,M
2022,SE,FT,Data Scientist,245000,US,0,US,M
2022,SE,FT,Data Scientist,180000,US,0,US,M
2022,SE,FT,Data Engineer,135000,US,0,US,M
2022,SE,FT,Data Engineer,100000,US,0,US,M
2022,SE,FT,Data Engineer,220000,US,0,US,M
2022,SE,FT,Data Engineer,150000,US,0,US,M
2022,SE,FT,Data Scientist,198440,US,0,US,L
2022,SE,FT,Data Scientist,144000,US,0,US,L
2022,SE,FT,Data Engineer,240000,US,0,US,M
2022,SE,FT,Data Engineer,170000,US,0,US,M
2022,SE,FT,Data Scientist,198440,US,0,US,M
2022,SE,FT,Data Scientist,144000,US,0,US,M
2022,MI,FT,Data Analyst,150000,US,100,US,M
2022,MI,FT,Data Analyst,100000,US,100,US,M
2022,SE,FT,Data Analyst,120000,US,0,US,M
2022,SE,FT,Data Analyst,95000,US,0,US,M
2022,MI,FT,Data Scientist,58211,GB,50,GB,M
2022,EN,FT,Data Analyst,64000,US,100,US,L
2022,EN,FT,Data Scientist,40009,FR,50,FR,L
2022,SE,FT,Machine Learning Engineer,187200,CA,100,CA,M
2022,SE,FT,Machine Learning Engineer,116100,CA,100,CA,M
2022,SE,FT,Data Analyst,150000,US,0,US,M
2022,SE,FT,Data Analyst,127000,US,0,US,M
2022,SE,FT,Data Engineer,275000,US,100,US,M
2022,SE,FT,Data Engineer,166000,US,100,US,M
2022,SE,FT,Data Scientist,159699,US,0,US,M
2022,SE,FT,Data Scientist,138938,US,0,US,M
2022,EN,FT,BI Analyst,76000,US,50,US,L
2022,SE,FT,Data Analyst,166700,US,0,US,M
2022,SE,FT,Data Analyst,119000,US,0,US,M
2022,SE,FT,Data Analyst,130000,US,0,US,M
2022,SE,FT,Data Analyst,100000,US,0,US,M
2022,SE,FT,Analytics Engineer,104038,GB,0,GB,M
2022,SE,FT,Analytics Engineer,92891,GB,0,GB,M
2022,SE,FT,Data Analyst,80000,US,0,US,M
2022,SE,FT,Data Analyst,52500,US,0,US,M
2022,SE,FT,Data Engineer,236000,US,100,US,M
2022,SE,FT,Data Engineer,182000,US,100,US,M
2022,SE,FT,Data Scientist,180000,US,100,US,M
2022,SE,FT,Data Scientist,140000,US,100,US,M
2022,SE,FT,Data Scientist,225000,US,0,US,M
2022,SE,FT,Data Scientist,156400,US,0,US,M
2022,SE,FT,Data Analyst,135000,US,100,US,M
2022,SE,FT,Data Analyst,100000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,204500,US,0,US,M
2022,SE,FT,Machine Learning Engineer,142200,US,0,US,M
2022,MI,FT,Research Engineer,240000,US,100,US,M
2022,EN,PT,Data Analyst,125404,CN,50,US,S
2022,SE,FT,Data Engineer,300000,US,0,US,M
2022,SE,FT,Data Engineer,195000,US,100,US,M
2022,SE,FT,Data Engineer,175000,US,100,US,M
2022,SE,FT,Data Engineer,155000,US,0,US,M
2022,SE,FT,Data Engineer,110000,US,0,US,M
2022,SE,FT,Data Operations Analyst,123000,US,0,US,M
2022,SE,FT,Data Operations Analyst,92250,US,0,US,M
2022,MI,FT,Machine Learning Engineer,180000,US,100,US,M
2022,MI,FT,Machine Learning Engineer,100000,US,100,US,M
2022,SE,FT,Data Engineer,97000,US,100,US,M
2022,SE,FT,Data Engineer,90000,US,100,US,M
2022,SE,FT,Data Engineer,200000,US,0,US,M
2022,SE,FT,Machine Learning Engineer,210000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,180000,US,100,US,M
2022,SE,FT,Data Engineer,260000,US,0,US,M
2022,SE,FT,Data Engineer,180000,US,0,US,M
